城市数量,最短距离,平均距离,迭代次数
37.0,4291.0,8200.28,0.0
39.0,3862.0,6679.9,13.0
71.0,4995.0,9246.74,70.0
30.0,3281.0,5886.26,25.0
12.0,2158.0,2343.92,8.0
80.0,5127.0,9715.78,91.0
31.0,3255.0,4631.64,18.0
34.0,4324.0,8408.84,0.0
11.0,2721.0,4065.96,8.0
69.0,4732.0,8932.96,92.0
